COMPANY NAME, CIK, SIC, DATE, FILE,SEC LINK
ABCO Energy  Inc.,1300938,1700,4/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/1300938/000118518517000938/0001185185-17-000938.txt
ABEONA THERAPEUTICS INC.,318306,2834,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/318306/0000114420417017709/0001144204-17-017709.txt
ABERCROMBIE & FITCH CO /DE/,1018840,5651,3/27/2017,10-K,http://www.sec.gov/Archives/edgar/data/1018840/000101884017000013/0001018840-17-000013.txt
ABIOMED INC,815094,3841,5/25/2017,10-K,http://www.sec.gov/Archives/edgar/data/815094/0000156459017011690/0001564590-17-011690.txt
ABM INDUSTRIES INC /DE/,771497,7340,12/22/2017,10-K,http://www.sec.gov/Archives/edgar/data/771497/0000162828017012508/0001628280-17-012508.txt
ABRAXAS PETROLEUM CORP,867665,1311,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/867665/0000086766517000031/0000867665-17-000031.txt
Abtech Holdings  Inc.,1405858,1090,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1405858/000114420417018022/0001144204-17-018022.txt
ABV CONSULTING  INC.,1607450,8742,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1607450/000164033417000620/0001640334-17-000620.txt
Acacia Communications  Inc.,1651235,3674,2/23/2017,10-K,http://www.sec.gov/Archives/edgar/data/1651235/000156459017002222/0001564590-17-002222.txt
Acacia Diversified Holdings  Inc.,1001463,5010,3/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/1001463/000118518517000668/0001185185-17-000668.txt
ACACIA RESEARCH CORP,934549,6794,3/10/2017,10-K,http://www.sec.gov/Archives/edgar/data/934549/0000093454917000006/0000934549-17-000006.txt
Acadia Healthcare Company  Inc.,1520697,8093,2/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1520697/000119312517056016/0001193125-17-056016.txt
ACADIA PHARMACEUTICALS INC,1070494,2834,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/1070494/000156459017002866/0001564590-17-002866.txt
ACADIA REALTY TRUST,899629,6798,2/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/899629/0000089962917000009/0000899629-17-000009.txt
ACCELERA INNOVATIONS  INC.,1444144,8000,4/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/1444144/000149315217003990/0001493152-17-003990.txt
Accelerate Diagnostics  Inc,727207,3826,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/727207/0000162828017001816/0001628280-17-001816.txt
Accelerize Inc.,1352952,7389,3/22/2017,10-K,http://www.sec.gov/Archives/edgar/data/1352952/000143774917005089/0001437749-17-005089.txt
ACCELERON PHARMA INC,1280600,2836,3/1/2017,10-K,http://www.sec.gov/Archives/edgar/data/1280600/000128060017000008/0001280600-17-000008.txt
Accenture Holdings plc,1647339,7389,10/26/2017,10-K,http://www.sec.gov/Archives/edgar/data/1647339/000164733917000019/0001647339-17-000019.txt
Accenture plc,1467373,7389,10/26/2017,10-K,http://www.sec.gov/Archives/edgar/data/1467373/000146737317000430/0001467373-17-000430.txt
ACCESS NATIONAL CORP,1176316,6035,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/1176316/000114420417015082/0001144204-17-015082.txt
ACCO BRANDS Corp,712034,2780,2/27/2017,10-K,http://www.sec.gov/Archives/edgar/data/712034/0000071203417000012/0000712034-17-000012.txt
ACCURAY INC,1138723,3841,8/25/2017,10-K,http://www.sec.gov/Archives/edgar/data/1138723/000104746917005403/0001047469-17-005403.txt
Accurexa Inc.,1562107,3845,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1562107/000146970917000051/0001469709-17-000051.txt
ACELRX PHARMACEUTICALS INC,1427925,2834,3/3/2017,10-K,http://www.sec.gov/Archives/edgar/data/1427925/000143774917003702/0001437749-17-003702.txt
ACETO CORP,2034,5122,8/25/2017,10-K,http://www.sec.gov/Archives/edgar/data/2034/000000114420417045100/0001144204-17-045100.txt
Achaogen Inc,1301501,2834,3/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1301501/000156459017004283/0001564590-17-004283.txt
ACHILLION PHARMACEUTICALS INC,1070336,2834,2/23/2017,10-K,http://www.sec.gov/Archives/edgar/data/1070336/000119312517054009/0001193125-17-054009.txt
ACI WORLDWIDE  INC.,935036,7372,3/1/2017,10-K,http://www.sec.gov/Archives/edgar/data/935036/0000119312517065734/0001193125-17-065734.txt
Aclaris Therapeutics  Inc.,1557746,2834,3/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/1557746/000155837017001802/0001558370-17-001802.txt
ACME UNITED CORP,2098,3420,3/10/2017,10-K,http://www.sec.gov/Archives/edgar/data/2098/000000102660817000009/0001026608-17-000009.txt
ACNB CORP,715579,6022,3/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/715579/0000104746917001613/0001047469-17-001613.txt
Acology Inc.,1096950,3080,4/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1096950/000072174817000242/0000721748-17-000242.txt
ACORDA THERAPEUTICS INC,1008848,2836,2/27/2017,10-K,http://www.sec.gov/Archives/edgar/data/1008848/000156459017002591/0001564590-17-002591.txt
ACORN ENERGY  INC.,880984,8711,3/29/2017,10-K,http://www.sec.gov/Archives/edgar/data/880984/0000149315217002980/0001493152-17-002980.txt
ACRE REALTY INVESTORS INC,1011109,6798,3/9/2017,10-K,http://www.sec.gov/Archives/edgar/data/1011109/000155278117000109/0001552781-17-000109.txt
Actinium Pharmaceuticals  Inc.,1388320,2834,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/1388320/000121390017002461/0001213900-17-002461.txt
ACTIVECARE  INC.,1429896,3669,1/13/2017,10-K,http://www.sec.gov/Archives/edgar/data/1429896/000109690617000028/0001096906-17-000028.txt
Activision Blizzard  Inc.,718877,7372,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/718877/0000104746917001072/0001047469-17-001072.txt
Actua Corp,1085621,7371,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1085621/000108562117000004/0001085621-17-000004.txt
ACTUANT CORP,6955,3590,10/26/2017,10-K,http://www.sec.gov/Archives/edgar/data/6955/000000000695517000038/0000006955-17-000038.txt
